Stress_Data,AE_Reduced_Data,,,,,,,,AE_Reduced_Data,Stress_Data,,,
9.895151374,136271.5731,2.292044877,11.82240503,0.193872978,,,,,,,,136271.5731,9.895151374
9.916202502,136329.3126,2.294170036,11.82282865,0.194045782,,,,,,,,136329.3126,9.916202502
9.94335573,136507.5821,2.296904562,11.82413544,0.194255603,,,,,,,,136507.5821,9.94335573
9.97961944,136535.0906,2.300544957,11.82433693,0.194560166,,,,,,,,136535.0906,9.97961944
10.00317571,136702.0321,2.302902614,11.82555889,0.194739431,,,,,,,,136702.0321,10.00317571
10.03027488,136787.8851,2.305608007,11.82618672,0.194957856,,,,,,,,136787.8851,10.03027488
10.05572459,136911.3476,2.308142083,11.8270889,0.195157245,,,,,,,,136911.3476,10.05572459
10.08328821,137014.1796,2.310879421,11.8278397,0.195376288,,,,,,,,137014.1796,10.08328821
10.10465651,137079.5191,2.312996358,11.82831647,0.195547385,,,,,,,,137079.5191,10.10465651
10.13397922,137196.3671,2.315894057,11.82916852,0.195778262,,,,,,,,137196.3671,10.13397922
10.15628089,137231.1801,2.318092321,11.82942223,0.195959894,,,,,,,,137231.1801,10.15628089
10.1797361,137275.6956,2.320399087,11.82974656,0.196149518,,,,,,,,137275.6956,10.1797361
10.20720657,138058.4111,2.323093997,11.83543214,0.196282989,,,,,,,,138058.4111,10.20720657
10.23201031,138219.6126,2.325521072,11.83659909,0.196468686,,,,,,,,138219.6126,10.23201031
10.26531853,138321.7796,2.328771081,11.83733799,0.196730978,,,,,,,,138321.7796,10.26531853
10.30177229,138360.8556,2.332315947,11.83762045,0.197025742,,,,,,,,138360.8556,10.30177229
10.337617,138442.3081,2.335789378,11.83820897,0.197309355,,,,,,,,138442.3081,10.337617
10.36285552,138508.5831,2.338227828,11.83868757,0.197507352,,,,,,,,138508.5831,10.36285552
10.39117465,139316.1871,2.340956855,11.84450136,0.197640811,,,,,,,,139316.1871,10.39117465
10.42186489,139393.8446,2.343905992,11.84505862,0.197880489,,,,,,,,139393.8446,10.42186489
10.44758209,139503.1301,2.346370573,11.84584232,0.198075452,,,,,,,,139503.1301,10.44758209
10.48170954,139620.9206,2.34963179,11.84668632,0.198336626,,,,,,,,139620.9206,10.48170954
10.51759278,139656.0866,2.353049358,11.84693816,0.198620886,,,,,,,,139656.0866,10.51759278
10.54188948,139718.6391,2.355356795,11.84738596,0.198808142,,,,,,,,139718.6391,10.54188948
10.57196824,139752.8271,2.358205993,11.84763062,0.199044524,,,,,,,,139752.8271,10.57196824
10.60368987,139811.5386,2.361202041,11.84805064,0.19929034,,,,,,,,139811.5386,10.60368987
10.64158262,139859.8341,2.364769215,11.84839602,0.199585599,,,,,,,,139859.8341,10.64158262
10.67574008,140336.9661,2.367973885,11.85180171,0.199798642,,,,,,,,140336.9661,10.67574008
10.72328425,140372.6136,2.372417475,11.85205569,0.200169282,,,,,,,,140372.6136,10.72328425
10.74643501,140448.5431,2.374574073,11.85259646,0.200342101,,,,,,,,140448.5431,10.74643501
10.77684051,140561.3691,2.377399434,11.85339946,0.200566887,,,,,,,,140561.3691,10.77684051
10.81408441,140596.0156,2.380849397,11.85364592,0.200853764,,,,,,,,140596.0156,10.81408441
10.84440183,140658.4311,2.383648986,11.85408976,0.201082414,,,,,,,,140658.4311,10.84440183
10.87704723,140702.5781,2.38665481,11.85440357,0.201330653,,,,,,,,140702.5781,10.87704723
10.90993389,140761.4126,2.38967374,11.85482163,0.201578211,,,,,,,,140761.4126,10.90993389
10.94325489,140841.8886,2.392723275,11.85539318,0.201825721,,,,,,,,140841.8886,10.94325489
10.97969721,140984.1196,2.396047859,11.85640254,0.202088943,,,,,,,,140984.1196,10.97969721
11.01348249,141474.3926,2.399120203,11.85987401,0.202288844,,,,,,,,141474.3926,11.01348249
11.04510903,141582.5096,2.401987708,11.86063793,0.202517581,,,,,,,,141582.5096,11.04510903
11.07133203,143106.0096,2.404359067,11.87134096,0.202534749,,,,,,,,143106.0096,11.07133203
11.11186687,143157.1061,2.408013625,11.87169795,0.202836497,,,,,,,,143157.1061,11.11186687
11.15361375,143331.2801,2.411763549,11.87291387,0.203131563,,,,,,,,143331.2801,11.15361375
11.1883641,143381.3801,2.414874319,11.87326335,0.203387582,,,,,,,,143381.3801,11.1883641
11.21895822,143473.3556,2.417605046,11.87390462,0.203606574,,,,,,,,143473.3556,11.21895822
11.24758771,143608.9611,2.42015368,11.87484934,0.203805001,,,,,,,,143608.9611,11.24758771
11.2850331,143839.4116,2.423477343,11.87645276,0.204057339,,,,,,,,143839.4116,11.2850331
11.32179011,143927.0396,2.426729197,11.87706178,0.204320668,,,,,,,,143927.0396,11.32179011
11.36985616,144055.7101,2.430965657,11.87795538,0.204661962,,,,,,,,144055.7101,11.36985616
11.39370668,144866.3346,2.433061157,11.88356677,0.204741658,,,,,,,,144866.3346,11.39370668
11.42473693,144962.8431,2.435780911,11.88423273,0.204959038,,,,,,,,144962.8431,11.42473693
