ABS Energy,Category
296194.002,Original_data
296194.002,Original_data
296194.002,Original_data
296345.002,Original_data
296361.902,Original_data
296364.912,Original_data
296580.912,Original_data
296646.812,Original_data
296834.812,Original_data
296836.002,Original_data
297335.002,Original_data
297428.702,Original_data
297428.702,Original_data
297458.002,Original_data
297458.002,Original_data
297484.102,Original_data
297488.112,Original_data
297488.112,Original_data
297531.112,Original_data
297544.512,Original_data
297546.972,Original_data
297559.872,Original_data
297629.872,Original_data
299269.872,Original_data
299854.872,Original_data
299950.272,Original_data
299950.272,Original_data
299950.272,Original_data
299950.272,Original_data
299951.462,Original_data
299952.672,Original_data
299953.67,Original_data
299959.75,Original_data
300034.35,Original_data
300034.35,Original_data
300034.35,Original_data
300049.35,Original_data
300049.35,Original_data
300128.85,Original_data
300146.95,Original_data
300184.25,Original_data
300287.25,Original_data
300292.22,Original_data
300299.96,Original_data
300313.96,Original_data
300589.96,Original_data
300590.958,Original_data
300732.958,Original_data
300732.958,Original_data
300732.958,Original_data
300747.158,Original_data
300962.158,Original_data
301109.158,Original_data
301123.958,Original_data
301128.218,Original_data
301145.818,Original_data
301156.818,Original_data
301216.618,Original_data
301223.258,Original_data
301223.258,Original_data
301231.258,Original_data
301232.448,Original_data
301232.448,Original_data
301244.648,Original_data
301430.648,Original_data
301436.648,Original_data
301460.848,Original_data
301502.748,Original_data
301504.008,Original_data
301504.008,Original_data
301506.968,Original_data
301506.968,Original_data
301506.968,Original_data
301507.966,Original_data
301722.966,Original_data
302021.966,Original_data
302045.466,Original_data
302046.866,Original_data
302058.966,Original_data
302061.776,Original_data
302118.076,Original_data
302130.476,Original_data
302243.476,Original_data
302269.876,Original_data
302271.346,Original_data
302271.346,Original_data
302271.346,Original_data
302394.346,Original_data
302448.346,Original_data
302599.346,Original_data
302599.346,Original_data
302634.446,Original_data
302634.446,Original_data
302639.756,Original_data
303584.756,Original_data
303594.586,Original_data
303594.586,Original_data
304166.586,Original_data
304206.186,Original_data
304350.186,Original_data
304443.486,Original_data
304526.486,Original_data
304527.496,Original_data
304527.496,Original_data
304530.966,Original_data
304561.466,Original_data
304564.386,Original_data
304569.426,Original_data
304607.626,Original_data
304623.426,Original_data
304629.596,Original_data
304629.596,Original_data
304634.606,Original_data
304850.606,Original_data
304854.756,Original_data
304854.756,Original_data
304860.626,Original_data
305459.626,Original_data
305459.626,Original_data
305533.526,Original_data
305533.526,Original_data
305580.826,Original_data
305580.826,Original_data
305623.126,Original_data
305631.756,Original_data
305645.956,Original_data
305677.856,Original_data
305677.856,Original_data
305677.856,Original_data
305677.856,Original_data
305678.976,Original_data
305678.976,Original_data
305710.776,Original_data
305793.276,Original_data
309143.276,Original_data
309155.276,Original_data
309207.276,Original_data
309207.276,Original_data
309319.276,Original_data
309319.276,Original_data
309320.274,Original_data
309320.274,Original_data
309327.344,Original_data
309359.344,Original_data
309372.644,Original_data
309372.644,Original_data
309372.644,Original_data
309404.744,Original_data
309404.744,Original_data
309405.934,Original_data
309407.404,Original_data
309409.184,Original_data
314929.184,Original_data
314952.684,Original_data
315018.484,Original_data
315021.394,Original_data
315021.394,Original_data
315021.394,Original_data
315022.674,Original_data
315026.474,Original_data
315026.474,Original_data
315113.274,Original_data
315177.874,Original_data
315197.874,Original_data
315292.874,Original_data
315307.074,Original_data
315307.074,Original_data
315417.074,Original_data
315418.194,Original_data
315430.094,Original_data
315507.494,Original_data
315507.494,Original_data
315533.194,Original_data
315534.384,Original_data
315548.484,Original_data
315599.384,Original_data
315599.384,Original_data
315603.484,Original_data
315603.484,Original_data
315677.684,Original_data
315677.684,Original_data
315678.804,Original_data
